Name,Rating,Network,Duration,Aired,NumEpisodes
365,8.6,MBC,35,"Monday, Tuesday",24
The Master's Sun,8.6,SBS,62,"Wednesday, Thursday",17
Avengers Social Club,8.6,tvN,60,"Wednesday, Thursday",12
Rebel,8.5,MBC,60,"Monday, Tuesday",30
Nobody Knows,8.5,SBS,70,"Monday, Tuesday",16
Bad Guys,8.5,OCN,65,Other,11
Beautiful World,8.5,"jTBC,  Viki",60,"Friday, Saturday",16
Arthdal Chronicles Part 1,8.5,"Netflix,  tvN",80,"Saturday, Sunday",6
Kairos,8.5,MBC,70,"Monday, Tuesday",16
I Hear Your Voice,8.5,SBS,60,"Wednesday, Thursday",18
What's Wrong with Secretary Kim,8.5,tvN,69,"Wednesday, Thursday",16
Vagabond,8.5,"Netflix,  SBS",70,"Friday, Saturday",16
One Ordinary Day,8.5,ViuTV,70,"Saturday, Sunday",8
Reply 1997,8.5,tvN,60,Other,16
Doctor John,8.5,SBS,35,"Friday, Saturday",32
"Hi Bye, Mama!",8.5,"Netflix, tvN",70,"Saturday, Sunday",16
Voice,8.5,OCN,60,"Saturday, Sunday",16
Fight For My Way,8.5,KBS2,60,"Monday, Tuesday",16
Squid Game,8.5,Netflix,60,Friday,9
W,8.5,MBC,60,"Wednesday, Thursday",16
Queen Seon Duk,8.5,MBC,65,"Monday, Tuesday",62
Mad for Each Other,8.5,"Daum Kakao TV, Netflix",35,Other,13
Dali and the Cocky Prince,8.5,KBS2,65,"Wednesday, Thursday",16
Thirty But Seventeen,8.5,SBS,35,"Monday, Tuesday",32
When the Camellia Blooms,8.5,"KBS2,  Netflix",35,"Wednesday, Thursday",40
Be Melodramatic,8.5,"jTBC, Viki",65,"Friday, Saturday",16
Itaewon Class,8.5,"jTBC, Netflix",70,"Friday, Saturday",16
Snowdrop,8.5,jTBC,90,"Saturday, Sunday",16
Circle,8.5,tvN,65,"Monday, Tuesday",12
Because This Is My First Life,8.5,tvN,70,"Monday, Tuesday",16
The Princess's Man,8.5,KBS2,65,"Wednesday, Thursday",24
Blind,8.5,"OCN, tvN",70,"Friday, Saturday",16
Two Weeks,8.5,MBC,68,"Wednesday, Thursday",16
"Work Later, Drink Now",8.5,tvN,35,Friday,12
Dong Yi,8.5,MBC,65,"Monday, Tuesday",60
Gaus Electronics,8.5,"ENA, Olleh TV",50,"Friday, Saturday",12
Angel's Last Mission: Love,8.5,KBS2,35,"Wednesday, Thursday",32
The World of the Married,8.5,jTBC,80,"Friday, Saturday",16
All of Us Are Dead,8.5,Netflix,62,Friday,12
Extracurricular,8.5,Netflix,55,Other,10
Yumi's Cells,8.5,tvN,70,"Friday, Saturday",14
Lost,8.4,"iQiyi, jTBC",70,"Saturday, Sunday",16
Queen In Hyun's Man,8.4,tvN,45,"Wednesday, Thursday",16
One Dollar Lawyer,8.4,SBS,70,"Friday, Saturday",12
If You Wish Upon Me,8.4,"KBS2, ViuTV",70,"Wednesday, Thursday",16
I'm Not a Robot,8.4,MBC,35,"Wednesday, Thursday",32
Memorist,8.4,tvN,65,"Wednesday, Thursday",16
Voice 2,8.4,OCN,60,"Saturday, Sunday",12
Doom at Your Service,8.4,"tvN, ViuTV",65,"Monday, Tuesday",16
Duel,8.4,OCN,63,"Saturday, Sunday",16
Search: WWW,8.4,tvN,70,"Wednesday, Thursday",16
"From Now On, Showtime!",8.4,"MBC, ViuTV",73,"Saturday, Sunday",16
Hello Monster,8.4,KBS2,70,"Monday, Tuesday",16
Moon Embracing the Sun,8.4,MBC,65,"Wednesday, Thursday",20
Train,8.4,OCN,60,"Saturday, Sunday",12
Sh**ting Stars,8.4,tvN,60,"Friday, Saturday",16
The Crowned Clown,8.4,tvN,80,"Monday, Tuesday",16
Mad Dog,8.4,KBS2,60,"Wednesday, Thursday",16
Birthcare Center,8.4,tvN,65,"Monday, Tuesday",8
Nine: Nine Times Time Travel,8.4,tvN,52,"Monday, Tuesday",20
Extraordinary You,8.4,MBC,35,"Wednesday, Thursday",32
Pinocchio,8.4,SBS,58,"Wednesday, Thursday",20
Doctor Prisoner,8.4,KBS2,35,"Wednesday, Thursday",32
Love All Play,8.4,KBS2,70,"Wednesday, Thursday",16
My Unfamiliar Family,8.4,tvN,75,"Monday, Tuesday",16
Her Private Life,8.4,tvN,75,"Wednesday, Thursday",16
Age of Youth 2,8.4,jTBC,60,"Friday, Saturday",14
Secret,8.4,KBS2,62,"Wednesday, Thursday",16
Military Prosecutor Doberman,8.4,tvN,65,"Monday, Tuesday",16
Pachinko,8.4,Apple TV+,54,Friday,8
My Roommate Is a Gumiho,8.4,"iQiyi, tvN",70,"Wednesday, Thursday",16
Yumi's Cells 2,8.4,tvN,65,Friday,14
My Country: The New Age,8.4,"jTBC, Netflix",80,"Friday, Saturday",16
Sell Your Haunted House,8.4,KBS2,70,"Wednesday, Thursday",16
Player,8.4,OCN,65,"Saturday, Sunday",14
The Legend of the Blue Sea,8.4,SBS,60,"Wednesday, Thursday",20
Come and Hug Me,8.4,MBC,35,"Wednesday, Thursday",32
Partners for Justice,8.4,MBC,35,"Monday, Tuesday",32
Seasons of Blossom,8.4,Wavve,25,Other,16
The Tale of Nokdu,8.4,KBS2,33,"Monday, Tuesday",32
Psychopath Diary,8.4,tvN,80,"Wednesday, Thursday",16
The Beauty Inside,8.4,jTBC,70,"Monday, Tuesday",16
Tale of the Nine-Tailed,8.4,tvN,70,"Wednesday, Thursday",16
The Good Detective,8.4,jTBC,70,"Monday, Tuesday",16
He Is Psychometric,8.4,tvN,64,"Monday, Tuesday",16
One Spring Night,8.4,"MBC, Netflix",35,"Wednesday, Thursday",32
Soundtrack #1,8.4,Disney+,44,Other,4
City Hunter,8.4,SBS,70,"Wednesday, Thursday",20
Class of Lies,8.3,OCN,70,"Wednesday, Thursday",16
100 Days My Prince,8.3,tvN,75,"Monday, Tuesday",16
"At a Distance, Spring Is Green",8.3,"iQiyi, KBS2, Viki",63,"Monday, Tuesday",12
Lie After Lie,8.3,Channel A,69,"Friday, Saturday",16
The Sound of Magic,8.3,Netflix,70,Friday,6
The Mysterious Class,8.3,YouTube,20,Friday,8
Good Doctor,8.3,KBS2,65,"Monday, Tuesday",20
"It's Okay, That's Friendship",8.3,YouTube,20,Friday,1
Rookie Cops,8.3,Hulu,60,Other,16
True Beauty,8.3,tvN,75,"Wednesday, Thursday",16
Oh My Ghost,8.3,tvN,60,"Friday, Saturday",16
God's Gift: 14 Days,8.3,SBS,65,"Monday, Tuesday",16
The Sound of Your Heart,8.3,Naver TV Cast,15,Other,20
The Veil,8.3,MBC,70,"Friday, Saturday",12
Graceful Family,8.3,MBN,80,"Wednesday, Thursday",16
Gu Family Book,8.3,MBC,65,"Monday, Tuesday",24
The Hymn of Death,8.3,"Netflix, SBS",35,"Monday, Tuesday",6
Jumong,8.3,MBC,70,"Monday, Tuesday",81
Vampire Prosecutor 2,8.3,OCN,65,Other,11
Ugly Alert,8.3,SBS,35,Other,133
